Date,Prix,Variation 24h
2014-02-09,1 BTC = 522.84000000€,-15.41%
2014-02-10,1 BTC = 493.63000000€,-5.92%
2014-02-11,1 BTC = 500.06000000€,1.29%
2014-02-12,1 BTC = 452.82000000€,-10.43%
2014-02-13,1 BTC = 455.32000000€,0.55%
2014-02-14,1 BTC = 415.27000000€,-9.64%
2014-02-15,1 BTC = 374.42000000€,-10.91%
2014-02-16,1 BTC = 352.47000000€,-6.23%
2014-02-17,1 BTC = 285.68000000€,-23.38%
2014-02-18,1 BTC = 240.54000000€,-18.77%
2014-02-19,1 BTC = 238.84000000€,-0.71%
2014-02-20,1 BTC = 232.03000000€,-2.93%
2014-02-21,1 BTC = 213.75000000€,-8.55%
2014-02-22,1 BTC = 115.19000000€,-85.56%
2014-02-23,1 BTC = 113.00000000€,-1.94%
2014-02-24,1 BTC = 210.87000000€,46.41%
2014-02-25,1 BTC = 272.64000000€,22.66%
2014-02-26,1 BTC = 153.64000000€,-77.45%
2014-02-27,1 BTC = 198.75000000€,22.7%
2014-02-28,1 BTC = 430.63000000€,53.85%
2014-03-01,1 BTC = 432.31000000€,0.39%
2014-03-02,1 BTC = 416.86000000€,-3.71%
2014-03-03,1 BTC = 420.17000000€,0.79%
2014-03-04,1 BTC = 412.89000000€,-1.76%
2014-03-05,1 BTC = 474.17000000€,12.92%
2014-03-06,1 BTC = 490.98000000€,3.42%
2014-03-07,1 BTC = 489.40000000€,-0.32%
2014-03-08,1 BTC = 481.13000000€,-1.72%
2014-03-09,1 BTC = 463.74000000€,-3.75%
2014-03-10,1 BTC = 455.70000000€,-1.76%
2014-03-11,1 BTC = 465.87000000€,2.18%
2014-03-12,1 BTC = 456.49000000€,-2.05%
2014-03-13,1 BTC = 459.89000000€,0.74%
2014-03-14,1 BTC = 459.04000000€,-0.19%
2014-03-15,1 BTC = 464.64000000€,1.21%
2014-03-16,1 BTC = 458.52000000€,-1.33%
2014-03-17,1 BTC = 460.14000000€,0.35%
2014-03-18,1 BTC = 459.13000000€,-0.22%
2014-03-19,1 BTC = 449.52000000€,-2.14%
2014-03-20,1 BTC = 445.54000000€,-0.89%
2014-03-21,1 BTC = 442.94000000€,-0.59%
2014-03-22,1 BTC = 426.41000000€,-3.88%
2014-03-23,1 BTC = 416.32000000€,-2.42%
2014-03-24,1 BTC = 414.39000000€,-0.47%
2014-03-25,1 BTC = 411.78000000€,-0.63%
2014-03-26,1 BTC = 422.58000000€,2.56%
2014-03-27,1 BTC = 422.81000000€,0.05%
2014-03-28,1 BTC = 425.07000000€,0.53%
2014-03-29,1 BTC = 368.74000000€,-15.28%
2014-03-30,1 BTC = 373.04000000€,1.15%
2014-03-31,1 BTC = 364.35000000€,-2.39%
2014-04-01,1 BTC = 339.86000000€,-7.21%
2014-04-02,1 BTC = 335.11000000€,-1.42%
2014-04-03,1 BTC = 357.65000000€,6.3%
2014-04-04,1 BTC = 321.96000000€,-11.09%
2014-04-05,1 BTC = 326.56000000€,1.41%
2014-04-06,1 BTC = 331.41000000€,1.46%
2014-04-07,1 BTC = 336.70000000€,1.57%
2014-04-08,1 BTC = 336.82000000€,0.04%
2014-04-09,1 BTC = 331.75000000€,-1.53%
2014-04-10,1 BTC = 332.24000000€,0.15%
2014-04-11,1 BTC = 325.74000000€,-2%
2014-04-12,1 BTC = 275.98000000€,-18.03%
2014-04-13,1 BTC = 306.21000000€,9.87%
2014-04-14,1 BTC = 310.00000000€,1.22%
2014-04-15,1 BTC = 302.83000000€,-2.37%
2014-04-16,1 BTC = 335.33000000€,9.69%
2014-04-17,1 BTC = 376.87000000€,11.02%
2014-04-18,1 BTC = 377.08000000€,0.06%
2014-04-19,1 BTC = 364.31000000€,-3.51%
2014-04-20,1 BTC = 352.06000000€,-3.48%
2014-04-21,1 BTC = 363.17000000€,3.06%
2014-04-22,1 BTC = 363.76000000€,0.16%
2014-04-23,1 BTC = 360.13000000€,-1.01%
2014-04-24,1 BTC = 353.78000000€,-1.79%
2014-04-25,1 BTC = 355.88000000€,0.59%
2014-04-26,1 BTC = 359.33000000€,0.96%
